信息：Activity:ongoing_management_and_support: 1750 mini seconds publishing element
信息：: 2438 mini-second(s) publishing element Activity:develop_components_within_scope[core.base_rup\capabilitypatterns\develop_components_within_scope_546FA961.html]
信息：Activity:develop_components_within_scope: 2438 mini seconds publishing element
信息：: 1312 mini-second(s) publishing element Activity:integrate_and_test[core.base_rup\capabilitypatterns\integrate_and_test_29F90B23.html]
信息：Activity:integrate_and_test: 1312 mini seconds publishing element
信息：: 1610 mini-second(s) publishing element Activity:plan_for_next_iteration[core.base_rup\capabilitypatterns\plan_for_next_iteration_D4501095.html]
信息：Activity:plan_for_next_iteration: 1641 mini seconds publishing element
信息：Milestone:Construction Milestone: 94 mini seconds publishing element
信息：: 2187 mini-second(s) publishing element Phase:Transition[core.base_rup\deliveryprocesses\Transition_4EE85BB2.html]
信息：Phase:Transition: 2203 mini seconds publishing element
信息：: 3140 mini-second(s) publishing element Activity:transition_iteration[core.base_rup\deliveryprocesses\transition_iteration_AAA0680C.html]
信息：Activity:transition_iteration: 3140 mini seconds publishing element
信息：Activity:prepare_environment_for_an_iteration: 782 mini seconds publishing element
信息：: 2282 mini-second(s) publishing element Activity:plan_for_next_iteration[core.base_rup\deliveryprocesses\plan_for_next_iteration_C74E6051.html]
信息：Activity:plan_for_next_iteration: 2312 mini seconds publishing element
信息：: 2219 mini-second(s) publishing element Activity:ongoing_management_and_support[core.base_rup\deliveryprocesses\ongoing_management_and_support_537BD75F.html]
信息：Activity:ongoing_management_and_support: 2219 mini seconds publishing element
信息：: 2281 mini-second(s) publishing element Activity:implement_components[core.base_rup\deliveryprocesses\implement_components_BAD3FB04.html]
信息：Activity:implement_components: 2281 mini seconds publishing element
信息：: 3485 mini-second(s) publishing element Activity:develop_components_within_scope_1[core.base_rup\deliveryprocesses\develop_components_within_scope_1_B1A0F51D.html]
信息：Activity:develop_components_within_scope_1: 3485 mini seconds publishing element
信息：: 1282 mini-second(s) publishing element Activity:integrate_and_test[core.base_rup\deliveryprocesses\integrate_and_test_4EEBDCDB.html]
信息：Activity:integrate_and_test: 1282 mini seconds publishing element
信息：Milestone:Transition Milestone: 140 mini seconds publishing element
信息：CustomCategory:role_sets: 110 mini seconds publishing element
信息：CustomCategory:tester: 140 mini seconds publishing element
信息：RoleSet:testers: 110 mini seconds publishing element
信息：: 5750 mini-second(s) publishing element Role:rup_test_analyst[core.base_rup\roles\rup_test_analyst_4637F9F0.html]
信息：Role:rup_test_analyst: 5750 mini seconds publishing element
信息：Task:identify_test_ideas: 953 mini seconds publishing element
信息：Task:determine_test_results: 437 mini seconds publishing element
信息：Artifact:rup_test_ideas_list: 485 mini seconds publishing element
信息：Artifact:rup_test_results: 125 mini seconds publishing element
信息：Concept:test_automation_and_tools: 468 mini seconds publishing element
信息：Concept:quality_dimensions: 63 mini seconds publishing element
信息：: 1375 mini-second(s) publishing element Role:rup_test_manager[core.base_rup\roles\rup_test_manager_53B4DA8F.html]
信息：Role:rup_test_manager: 1375 mini seconds publishing element
信息：Task:assess_advocate_quality: 312 mini seconds publishing element
信息：Artifact:rup_test_evaluation_summary: 313 mini seconds publishing element
信息：Concept:product_quality: 62 mini seconds publishing element
信息：Concept:metrics: 94 mini seconds publishing element
信息：Concept:measuring_quality: 141 mini seconds publishing element
信息：Concept:evaluating_quality: 156 mini seconds publishing element
信息：Role:rup_test_designer: 360 mini seconds publishing element
信息：Task:define_test_approach: 593 mini seconds publishing element
信息：Task:structure_the_test_implementation: 422 mini seconds publishing element
信息：Artifact:rup_test_suite: 110 mini seconds publishing element
信息：Artifact:rup_test_strategy: 203 mini seconds publishing element
信息：Whitepaper:testing_embedded_systems: 422 mini seconds publishing element
信息：Concept:exploratory_testing: 171 mini seconds publishing element
信息：Concept:test_strategy: 141 mini seconds publishing element
信息：Role:rup_tester: 203 mini seconds publishing element
信息：Task:implement_test_suite: 250 mini seconds publishing element
信息：Task:execute_test_suite: 438 mini seconds publishing element
信息：Artifact:rup_test_log: 110 mini seconds publishing element
信息：CustomCategory:test_disciplines: 47 mini seconds publishing element
信息：Discipline:rup_test_discipline: 93 mini seconds publishing element
信息：: 1719 mini-second(s) publishing element CapabilityPattern:test[core.base_rup\capabilitypatterns\test_7EF99F54.html]
信息：CapabilityPattern:test: 1719 mini seconds publishing element
信息：CapabilityPattern:test: 3953 mini seconds publishing process specific layout data
信息：Guideline:important_decisions_in_test: 313 mini seconds publishing element
信息：Concept:the_lifecycle_of_testing: 187 mini seconds publishing element
信息：Concept:key_measures_of_test: 235 mini seconds publishing element
信息：Concept:types_of_test: 140 mini seconds publishing element
信息：Concept:levels_of_test: 94 mini seconds publishing element
信息：SupportingMaterial:continuously_verify_quality: 125 mini seconds publishing element
信息：CustomCategory:test_work_products: 63 mini seconds publishing element
信息：Domain:test: 140 mini seconds publishing element
信息：Concept:usability_testing: 78 mini seconds publishing element
信息：Concept:structure_testing: 47 mini seconds publishing element
